Zip Code,City,State,Metro,CountyName,SizeRank,Median_Price
2338,Halifax,MA,Boston,Plymouth,7572,189
2339,Hanover,MA,Boston,Plymouth,5419,237
2341,Town of Hanson,MA,Boston,Plymouth,7702,201
2343,Holbrook,MA,Boston,Norfolk,6872,196
2346,Middleborough,MA,Boston,Plymouth,4181,175
2347,Lakeville,MA,Boston,Plymouth,7503,190
2351,Abington,MA,Boston,Plymouth,5255,194
2356,Easton,MA,Providence,Bristol,6168,214
2359,Pembroke,MA,Boston,Plymouth,5525,193
2360,Town of Plymouth,MA,Boston,Plymouth,560,193
2364,Town of Kingston,MA,Boston,Plymouth,5988,208
2367,Plympton,MA,Boston,Plymouth,10572,182
2368,Randolph,MA,Boston,Norfolk,1803,204
2370,Rockland,MA,Boston,Plymouth,4906,188
2375,Easton,MA,Providence,Bristol,8814,201
2379,West Bridgewater,MA,Boston,Plymouth,7919,182
2382,Whitman,MA,Boston,Plymouth,5627,183
2420,Lexington,MA,Boston,Middlesex,5428,427
2421,Lexington,MA,Boston,Middlesex,6458,436
2445,Brookline,MA,Boston,Norfolk,4475,538
2446,Brookline,MA,Boston,Norfolk,2512,572
2451,Waltham,MA,Boston,Middlesex,5406,275
2452,Waltham,MA,Boston,Middlesex,5671,277
2453,Waltham,MA,Boston,Middlesex,2758,298
2458,Newton,MA,Boston,Middlesex,7335,421
2459,Newton,MA,Boston,Middlesex,5788,455
2460,Newton,MA,Boston,Middlesex,8086,419
2461,Newton,MA,Boston,Middlesex,9797,447
2462,Newton,MA,Boston,Middlesex,11452,422
2464,Newton,MA,Boston,Middlesex,11478,397
2465,Newton,MA,Boston,Middlesex,6973,437
2466,Newton,MA,Boston,Middlesex,9013,412
2467,Newton,MA,Boston,Middlesex,4367,459
2468,Newton,MA,Boston,Middlesex,11822,478
2472,Watertown,MA,Boston,Middlesex,2094,357
2474,Arlington,MA,Boston,Middlesex,4015,352
2476,Arlington,MA,Boston,Middlesex,5552,365
